id,question_text,option1,option2,option3,option4,question_type,correct_option,source
7406,Which of the following interval (in days) defines fever of unknown origin in paediatrics?,7,14,21,28,pediatrics,14,Midgard
55,"A 45-year-old man presented to the Emergency Department complaining of lower abdominal pain for 3 days. He gave a history of being hit by a piece of wood in the same site of pain 4 days back. Examination revealed lethargic patient in pain, which was aggravated by moving his leg. There was grayish turbid semipurulent secretions from a small break in the skin of right lower quadrant. What is the most appropriate next step in management?",Observation,Surgical drainage,CT scan abdomen,Culture and sensitivity for secretions,surgery,Surgical drainage,general
56,A 37-year-old man sustained a stab wound to the neck. Examination showed a 2 cm wound anterior to the left ear and close to the angle of the mandible with blood ooze. What is the most appropriate next step?,Chest X-ray,Observation,CTA of the neck,Exploration of the wound,surgery,CTA of the neck,general
57,A 19-year-old woman brought to the Emergency Department after being stabbed to the right upper quadrant. She was conscious and oriented. Examination showed only a penetrating wound to the anterior abdominal wall at anterior axillary line below the right costal margin. What is the most appropriate next step?,Observation,CT scan abdomen,Ultrasound abdomen,Exploratory laparotomy,surgery,CT scan abdomen,general
58,A 25-year-old man involved in motor vehicle crash at 130 km/h was conscious and alert on arrival. Chest X-ray was normal. What is the most appropriate next step?,Ultrasound abdomen,CT scan abdomen,Diagnostic laparoscopy,Exploratory laparotomy,surgery,CT scan abdomen,general
59,"A 33-year-old man was in a car crash. Examination showed an open wound on the neck with devitalized tissue. BP 100/60 mmHg, HR 104, RR 28, SpO2 87%. What is the most appropriate next step?",Oxygen mask,Tracheostomy,Cricothyroidotomy,Endotracheal intubation,surgery,Endotracheal intubation,general
60,A 56-year-old woman exposed to chemical burns to her trunk had a 6x11 cm wound on her back with burned clothes and chemical powder. What is the most appropriate next step after removing her clothes?,Antibiotics,Powder sweeping,Surgical debridement,Water irrigation for 30 minutes,surgery,Powder sweeping,general
61,"A 23-year-old man fell from 3m onto his right leg. Exam showed deformity, open wound, devitalized tissue and dirt. Vitals stable. What is the most appropriate next step?",Antibiotics,External fixator,Surgical debridement,Urgent internal fixation,surgery,Surgical debridement,general
62,"A 17-year-old man had a crush injury to his left leg 5 hours earlier. He had severe pain, cold leg, delayed capillary refill. Vitals stable. What is the most appropriate next step?",Angiography,CT angiography,Duplex ultrasound,Compartment pressure,surgery,Compartment pressure,general
63,"A 37-year-old man presented with vomiting blood after excessive vomiting. Vitals stable. Hb 135, WBC 7.8. What is the most appropriate management?",Upper GI endoscopy,Conservative treatment,Exploratory laparotomy,Sengstaken-Blakemore tube,surgery,Conservative treatment,general
64,"A 63-year-old woman had upper abdominal pain, SOB, and palpitations after meals for years, relieved by vomiting. What is the most appropriate investigation?",CT scan abdomen,Upper GI endoscopy,Plain abdominal X-ray,Upper GI barium study,surgery,Upper GI barium study,general
65,A 40-year-old woman with heartburn and reflux unresponsive to PPIs. Endoscopy shows esophageal erythema. What is the next step?,Manometry study,24-hour pH monitoring,Lifestyle modification,Nissen's fundoplication,surgery,Lifestyle modification,general
66,"A 73-year-old woman had percutaneous transhepatic cholangiography. 24 hours later, upper GI bleeding began. Vitals stable. Hb 103. What is the next step?",CT scan,Endoscopy,Ultrasound,Angiography,surgery,Angiography,general
67,A 24-year-old man recovering from pancreatitis had an enlarging epigastric swelling. Ultrasound confirmed pseudocyst. What is the next step?,Observation,Internal drainage,Percutaneous drainage,Excision of pseudocyst,surgery,Percutaneous drainage,general
68,A 32-year-old diabetic woman on OCPs had RUQ pain. CT shows 5 cm hypodense lesion in right liver lobe. What is the next step?,Excision,Follow up CT scan,Right hepatectomy,Stop oral contraceptive,surgery,Stop oral contraceptive,general
69,A 68-year-old man planned for elective inguinal hernia repair. What is the most appropriate treatment?,Simple repair,Open mesh repair,Laparoscopic repair,Non-surgical treatment,surgery,Open mesh repair,general
70,"A 27-year-old man with groin pain for weeks, worsened by exercise. Exam normal. What is the next step?",MRI,CT scan,Ultrasound,Re-examination after 3 months,surgery,Ultrasound,general
71,"A 42-year-old woman had laparoscopic cholecystectomy. 2 weeks later, vague abdominal pain. CT: large subhepatic collection. What is the next step?",Operative drainage,CT-guided drainage,Laparoscopic drainage,ERCP with biliary stent placement,surgery,ERCP with biliary stent placement,general
72,"A 57-year-old man with abdominal pain, nausea, vomiting. Abdomen distended, tympanic, mild tenderness. X-ray: air-fluid levels. CT: dilated bowel loops, transition point. What is next?",Observation,Colonoscopy,Diagnostic laparoscopy,Exploratory laparotomy,surgery,Exploratory laparotomy,general
73,A 35-year-old woman post-thyroidectomy developed hand spasm during BP measurement. What is next?,Reassurance,Give analgesia,Check calcium level,Recheck BP,surgery,Check calcium level,general
74,"A 30-year-old man with right inguinal hernia, has chronic cough and insists on surgery. What to do?",Do the surgery,Call social worker,Consult physician,Inform administration,surgery,Call social worker,general
75,"During laparoscopic cholecystectomy, CBD injury occurred and was repaired. What is the best postoperative action?",Talk to the family,Talk to the patient,No need to tell them,Call colleague to tell them,surgery,Talk to the patient,general
76,A 32-year-old man operated for self-induced rectal injury. Family asks about cause. What to say?,Inform police,Tell them the truth,Involve social worker,Refer them to the patient,surgery,Refer them to the patient,general
77,A 5-year-old girl with rectal bleeding. Multiple bruises found. What is the most appropriate action?,Inform police,Admit patient,Inform social worker,Talk to family,surgery,Admit patient,general
78,"A 60-year-old woman scheduled for elective cholecystectomy. Intra-op, stomach mass discovered. What should surgeon do?",Cholecystectomy,Stop the procedure,Resection of the mass,Cholecystectomy and mass resection,surgery,Stop the procedure,general
79,"A 28-year-old man had head injury. GCS: eyes to pain, incomprehensible sounds, flexion to pain. What is the GCS score?",5,6,7,8,surgery,7,general
80,A 33-year-old woman diagnosed with papillary thyroid cancer planned for total thyroidectomy. She has mitral valve prolapse with mild regurgitation. What is the most appropriate to prevent infection?,Amoxicillin to prevent endocarditis,Cefazolin to prevent wound infection,No indication for antibiotic prophylaxis,Administer both cefazolin and amoxicillin,surgery,No indication for antibiotic prophylaxis,general
111,"A 70-year-old woman presents with abdominal distension, constipation, and groin swelling. Diagnosis?",Femoral hernia,Direct inguinal hernia,Lipoma,Indirect inguinal hernia,surgery,Femoral hernia,general
81,"A 55-year-old woman admitted with obstructed ventral hernia. Obese, diabetic, recently discharged after retinal detachment surgery. What is most appropriate DVT prophylaxis?",Subcutaneous heparin,Mechanical prophylaxis,Subcutaneous enoxaparin,Enoxaparin and mechanical prophylaxis,surgery,Mechanical prophylaxis,general
82,"A 65-year-old man scheduled for esophageal cancer surgery. Cachectic, lost >20% weight in 3 months. Started on pre-op TPN. Which electrolyte imbalance is expected?",Hypokalemia,Hypocalcemia,Hypernatremia,Hyperphosphatemia,surgery,Hypokalemia,general
83,"A 33-year-old woman post sleeve gastrectomy complicated by PE, started on heparin. After 5 days: platelets 59. What is appropriate management?",Stop heparin and start lepirudin,Increase IV heparin,Shift to subcutaneous enoxaparin,Continue same dose,surgery,Stop heparin and start lepirudin,general
84,"A 17-year-old boy with RLQ pain, anorexia, tenderness at McBurney''s point, WBC 21.3, X-ray: radio-opaque at RIF. Next step?",Appendectomy,Urgent urology consult,Non-contrast CT abdomen,Gall-bladder ultrasound,surgery,Appendectomy,general
85,"A 44-year-old woman scheduled for elective cholecystectomy. Obese, diabetic, sickle cell trait. What type of gallstones most likely?",Mixed,Oxalate,Pigmented,Pure cholesterol,surgery,Mixed,general
86,"A 65-year-old man presents with upper abdominal pain, jaundice, palpable non-tender gallbladder. Most likely diagnosis?",Liver cancer,Pancreatic cancer,Primary choledocholithiasis,Secondary choledocholithiasis,surgery,Pancreatic cancer,general
87,"A 75-year-old man admitted with MI, complicated by pneumonia, on Tazocin. Now severe RUQ tenderness. Ultrasound: distended gallbladder, no stones. Most appropriate management?",ERCP drainage,Emergency cholecystectomy,Change Tazocin,US-guided cholecystostomy,surgery,US-guided cholecystostomy,general
88,"A 35-year-old woman post elective cholecystectomy 7 days ago now jaundiced, mild RUQ tenderness. CBD 9 mm. Most likely diagnosis?",CBD injury,Retained CBD stone,Subhepatic collection,Slipped cystic duct clip,surgery,Retained CBD stone,general
89,"A 70-year-old woman with constipation, vomiting, groin swelling lateral and below pubic tubercle. X-ray: small bowel obstruction. Most likely diagnosis?",Femoral hernia,Direct inguinal hernia,Metastatic lymph node,Indirect inguinal hernia,surgery,Femoral hernia,general
90,"A 61-year-old man with anemia, stools mixed with blood for months, pale, piles on DRE, Hb 8.3. Most likely diagnosis?",Cecal cancer,Rectal cancer,Sigmoid cancer,Bleeding hemorrhoids,surgery,Cecal cancer,general
91,"A 52-year-old woman with vomiting, abdominal distension, history of ventral hernia repair with mesh. CT: terminal ileum obstruction with soft tissue mass. Likely diagnosis?",Small bowel cancer,Adhesion to mesh,Meckel's diverticulum,Crohn's disease,surgery,Small bowel cancer,general
92,A 12-year-old boy accidentally ingested bleach. Vitals stable. Next step?,Induce emesis,Close observation,Drink water to dilute,Insert NGT and drain,surgery,Close observation,general
93,"An 18-year-old man with 2nd degree burns to both legs. Weight 70kg. According to Parkland formula, most appropriate resuscitation?",Lactate Ringer's 200ml/hr,Normal saline 1L bolus then 120ml/hr,LR 5L over 6 hrs then 5L over 16 hrs,LR 2.5L over 6 hrs then 2.5L over 16 hrs,surgery,LR 5L over 6 hrs then 5L over 16 hrs,general
94,A 32-year-old woman had incidental thyroid nodule on US: 2.3 cm solid hypoechoic. FNA: follicular neoplasm Bethesda 4. Most appropriate management?,Nodule excision,Hemithyroidectomy,Repeat US in 3 months,Radiofrequency ablation,surgery,Hemithyroidectomy,general
95,A 27-year-old man with bicondylar tibial plateau fracture. Posterior leg compartment pressure 35 mmHg. Most appropriate management?,Closed reduction and elevation,External fixation and elevation,Internal fixation,External fixation and 4-compartment fasciotomy,surgery,External fixation and 4-compartment fasciotomy,general
96,"A 24-year-old man with gunshot wound to chest. Sudden agitation and hypotension. Neck veins distended, air entry good. Next management?",Fluid bolus,Pericardiocentesis,ER thoracotomy,Needle thoracostomy,surgery,Pericardiocentesis,general
97,A 2-month-old baby with 1 cm reducible umbilical hernia. Appropriate treatment?,Observation,Hernia sling,Surgical repair,Delayed repair at 6 months,surgery,Observation,general
