"id","question_text","option1","option2","option3","option4","question_type","correct_option"
23,"A 24-year-old man recovers from an attack of severe pancreatitis. He has mild epigastric discomfort, sensation of bloating, and loss of appetite. Examination reveals an epigastric fullness. The swelling increases in size over a 3-week period of observation (see report). Ultrasound: Confirmed to be a pseudocyst. Which of the following is the most appropriate next step in management?","Observation","Internal drainage","Percutaneous drainage","Excision of pseudocyst","surgery","Percutaneous drainage"
24,"A 32-year-old diabetic woman has taken contraceptive pills for 12 years develops right upper quadrant pain (see report). CT scan: A 5-cm hypodense lesion in the right lobe of the liver. Which of the following is the most appropriate next step in management?","Excision","Follow up CT scan","Right hepatectomy","Stop oral contraceptive","surgery","Stop oral contraceptive"
25,"A 68-year-old man has been advised to undergo surgical treatment for a left reducible inguinal hernia. He is otherwise healthy. Which of the following is the most appropriate treatment?","Simple repair","Open mesh repair","Laparoscopic repair","Non-surgical treatment","surgery","Open mesh repair"
26,"A 27-year-old man presented to the Surgical Clinic complaining of right groin pain for few weeks, which is aggravated by exercising. Examination confirmed normal external genitalia and groin region. Which of the following is the most appropriate next step?","MRI","CT scan","Ultrasound","Re-examination after 3 months","surgery","Ultrasound"
27,"A 42-year-old woman underwent an uneventful laparoscopic cholecystectomy. 2 weeks later, she presents to the Emergency Department with vague abdominal pain (see lab results and report). Blood pressure 117/59 mmHg, Heart rate 83/min Respiratory rate 19/min Temperature 37.4°C Oxygen saturation 95% Test Result Normal Values Hb 103 130-170 g/L (Male) 120-160 q/L (Female) WBC 7.8 .5-10.5x109/L Total bilirubin 3.7 3.5-16.5 mol/L CT scan: Large collection in the sub-hepatic area. Which of the following is most appropriate next step?","Operative drainage","CT-guided drainage","Laparoscopic drainage","ERCP with biliary stent placement","surgery","ERCP with biliary stent placement"
40,"A 57-year-old man presents with 2 days of abdominal pain, nausea, and vomiting. Examination revealed a distended, tympanic and mildly tender abdomen without rebound or guarding (see lab results and reports). Test Result Normal Values Hb 153 130-170 g/L (Male) 120-160 g/L (Female) WBC 12.6 4.5-10.5 x 109/L Plain Abdominal X-ray: Multiple air-fluid levels. CT scan: Multiple dilated loops of small bowel with a transition point in the distal small bowel, with some adjacent mesenteric fat stranding. Which of the following is the most appropriate next step in management?","Observation","Colonoscopy","Diagnostic laparoscopy","Exploratory laparotomy","surgery","Exploratory laparotomy"
41,"A 35-year-old woman 1-day post total thyroidectomy was observed by the nurses to develop a spasm of her right hand during blood pressure measurement from the right arm. Which of the following is the most appropriate next step?","Reassurance","Give analgesia","Check her calcium level","Recheck the blood pressure","surgery","Check her calcium level"
42,"A 30-year-old man presented to Surgical Clinic with right inguinal hernia. He was complaining of cough for the last 6 months. and did not use any treatment for it. He insisted to have the surgery and threatened the surgeon that he will raise a complain if did not book him for surgery. Which of the following is the most appropriate action?","Do the surgery","Call the social worker","Consult the physician","Inform the administration","surgery","Call the social worker"
43,"During a laparoscopic cholecystectomy, the surgeon encountered a difficult anatomy and there was a CBD injury, which was repaired and patient did very well. Which of the following is the most appropriate post-operative action?","Talk to the family","Talk to the patient","No need to tell them","Call a colleague to tell them","surgery","Talk to the patient"
44,"A 32-year-old man was operated for a self-induced rectal injury. After the surgery, the family was asking about the cause of his illness. Which of the following is the most appropriate response?","Inform the police","Tell them the truth","Involve social worker","Refer them to the patient","surgery","Refer them to the patient"
45,"A 5-year-old girl brought by her family with rectal bleeding. During examination, it was observed that there is an abnormal relation between the parents. Examination confirmed multiple bruises over the child body. which of the following is the most appropriate action?","Inform the police","Admit the patient","Inform the social worker","Talk to the family about your concern","surgery","Admit the patient"
46,"A 60-year-old woman was admitted for elective laparoscopic cholecystectomy. During the procedure, the surgeon found a big mass in the stomach Which of the following is the most appropriate action?","Cholecystectomy","Stop the procedure","Resection of the mass","Cholecystectomy and mass resection","surgery","Stop the procedure"
47,"A 28-year-old man is brought to Emergency Room with head injury after motor vehicle accident, he is making incomprehensive sounds, open his eyes to painful stimuli and flexes his limbs to painful stimuli, and his pupils react sluggishly to light. What is his Glasgow Coma Score?","5","6","7","8","surgery","7"
48,"A 33-year-old woman diagnosed with papillary thyroid cancer and planed for total thyroidectomy, she have mitral valve prolapse with mild regurgitation, no other co-morbidity. Which of the following is most appropriate option to prevent infection?","Amoxicillin to prevent endocarditis","Cefazolin to prevent wound infection","No indication for antibiotic prophylaxis","Administer both cefazolin and amoxicillin","surgery","No indication for antibiotic prophylaxis"
49,"A 55-year-old woman is admitted with obstructed ventral hernia for emergency exploration; patient is obese, diabetic and was discharged 7 days ago after surgical correction of retinal detachment. Which of following is most appropriate DVT prophylaxis?","Subcutaneous heparin","Mechanical prophylaxis","Subcutaneous enoxaparin","Enoxaparin and mechanical prophylaxis","surgery","Mechanical prophylaxis"
52,"A 45-year-old man had transurethral catheterization before going for a long surgical procedure. Postoperatively he developed haematuria and a urethral injury is suspected. Which part of the urethra is most likely injured?","Penile","Prostatic","Membranous","Middle spongy","surgery","Membranous"
53,"A patient presented after a blunt injury over the left leg. Examination confirmed a sensory loss on adjacent sides of the great and second toes, and impaired dorsiflexion of the foot. Which nerve is most likely injured?","Sural","Saphenous","Deep peroneal","Posterior tibial","surgery","Deep peroneal"
54,"A 60-year-old man presents to the Emergency Department with epigastric pain radiating to the back. He is a smoker and has long-standing diabetes and hypertension. Abdominal examination reveals a pulsatile supra-umbilical mass. What is the most likely diagnosis?","Abdominal aortic aneurysm","Secondary liver metastasis","Renal cell carcinoma","Peri-umbilical hernia","surgery","Abdominal aortic aneurysm"
55,"A 45-year-old man presented to the Emergency Department complaining of lower abdominal pain for 3 days. He gave a history of being hit by a piece of wood in the same site of pain 4 days back. Examination revealed lethargic patient in pain, which was aggravated by moving his leg. There was grayish turbid semipurulent secretions from a small break in the skin of right lower quadrant. What is the most appropriate next step in management?","Observation","Surgical drainage","CT scan abdomen","Culture and sensitivity for secretions","surgery","Surgical drainage"
56,"A 37-year-old man sustained a stab wound to the neck. Examination showed a 2 cm wound anterior to the left ear and close to the angle of the mandible with blood ooze. What is the most appropriate next step?","Chest X-ray","Observation","CTA of the neck","Exploration of the wound","surgery","CTA of the neck"
57,"A 19-year-old woman brought to the Emergency Department after being stabbed to the right upper quadrant. She was conscious and oriented. Examination showed only a penetrating wound to the anterior abdominal wall at anterior axillary line below the right costal margin. What is the most appropriate next step?","Observation","CT scan abdomen","Ultrasound abdomen","Exploratory laparotomy","surgery","CT scan abdomen"
58,"A 25-year-old man involved in motor vehicle crash at 130 km/h was conscious and alert on arrival. Chest X-ray was normal. What is the most appropriate next step?","Ultrasound abdomen","CT scan abdomen","Diagnostic laparoscopy","Exploratory laparotomy","surgery","CT scan abdomen"
59,"A 33-year-old man was in a car crash. Examination showed an open wound on the neck with devitalized tissue. BP 100/60 mmHg, HR 104, RR 28, SpO2 87%. What is the most appropriate next step?","Oxygen mask","Tracheostomy","Cricothyroidotomy","Endotracheal intubation","surgery","Endotracheal intubation"
60,"A 56-year-old woman exposed to chemical burns to her trunk had a 6x11 cm wound on her back with burned clothes and chemical powder. What is the most appropriate next step after removing her clothes?","Antibiotics","Powder sweeping","Surgical debridement","Water irrigation for 30 minutes","surgery","Powder sweeping"
61,"A 23-year-old man fell from 3m onto his right leg. Exam showed deformity, open wound, devitalized tissue and dirt. Vitals stable. What is the most appropriate next step?","Antibiotics","External fixator","Surgical debridement","Urgent internal fixation","surgery","Surgical debridement"
62,"A 17-year-old man had a crush injury to his left leg 5 hours earlier. He had severe pain, cold leg, delayed capillary refill. Vitals stable. What is the most appropriate next step?","Angiography","CT angiography","Duplex ultrasound","Compartment pressure","surgery","Compartment pressure"
63,"A 37-year-old man presented with vomiting blood after excessive vomiting. Vitals stable. Hb 135, WBC 7.8. What is the most appropriate management?","Upper GI endoscopy","Conservative treatment","Exploratory laparotomy","Sengstaken-Blakemore tube","surgery","Conservative treatment"
64,"A 63-year-old woman had upper abdominal pain, SOB, and palpitations after meals for years, relieved by vomiting. What is the most appropriate investigation?","CT scan abdomen","Upper GI endoscopy","Plain abdominal X-ray","Upper GI barium study","surgery","Upper GI barium study"
65,"A 40-year-old woman with heartburn and reflux unresponsive to PPIs. Endoscopy shows esophageal erythema. What is the next step?","Manometry study","24-hour pH monitoring","Lifestyle modification","Nissen's fundoplication","surgery","Lifestyle modification"
66,"A 73-year-old woman had percutaneous transhepatic cholangiography. 24 hours later, upper GI bleeding began. Vitals stable. Hb 103. What is the next step?","CT scan","Endoscopy","Ultrasound","Angiography","surgery","Angiography"
67,"A 24-year-old man recovering from pancreatitis had an enlarging epigastric swelling. Ultrasound confirmed pseudocyst. What is the next step?","Observation","Internal drainage","Percutaneous drainage","Excision of pseudocyst","surgery","Percutaneous drainage"
68,"A 32-year-old diabetic woman on OCPs had RUQ pain. CT shows 5 cm hypodense lesion in right liver lobe. What is the next step?","Excision","Follow up CT scan","Right hepatectomy","Stop oral contraceptive","surgery","Stop oral contraceptive"
69,"A 68-year-old man planned for elective inguinal hernia repair. What is the most appropriate treatment?","Simple repair","Open mesh repair","Laparoscopic repair","Non-surgical treatment","surgery","Open mesh repair"
70,"A 27-year-old man with groin pain for weeks, worsened by exercise. Exam normal. What is the next step?","MRI","CT scan","Ultrasound","Re-examination after 3 months","surgery","Ultrasound"
71,"A 42-year-old woman had laparoscopic cholecystectomy. 2 weeks later, vague abdominal pain. CT: large subhepatic collection. What is the next step?","Operative drainage","CT-guided drainage","Laparoscopic drainage","ERCP with biliary stent placement","surgery","ERCP with biliary stent placement"
72,"A 57-year-old man with abdominal pain, nausea, vomiting. Abdomen distended, tympanic, mild tenderness. X-ray: air-fluid levels. CT: dilated bowel loops, transition point. What is next?","Observation","Colonoscopy","Diagnostic laparoscopy","Exploratory laparotomy","surgery","Exploratory laparotomy"
73,"A 35-year-old woman post-thyroidectomy developed hand spasm during BP measurement. What is next?","Reassurance","Give analgesia","Check calcium level","Recheck BP","surgery","Check calcium level"
74,"A 30-year-old man with right inguinal hernia, has chronic cough and insists on surgery. What to do?","Do the surgery","Call social worker","Consult physician","Inform administration","surgery","Call social worker"
75,"During laparoscopic cholecystectomy, CBD injury occurred and was repaired. What is the best postoperative action?","Talk to the family","Talk to the patient","No need to tell them","Call colleague to tell them","surgery","Talk to the patient"
76,"A 32-year-old man operated for self-induced rectal injury. Family asks about cause. What to say?","Inform police","Tell them the truth","Involve social worker","Refer them to the patient","surgery","Refer them to the patient"
77,"A 5-year-old girl with rectal bleeding. Multiple bruises found. What is the most appropriate action?","Inform police","Admit patient","Inform social worker","Talk to family","surgery","Admit patient"
78,"A 60-year-old woman scheduled for elective cholecystectomy. Intra-op, stomach mass discovered. What should surgeon do?","Cholecystectomy","Stop the procedure","Resection of the mass","Cholecystectomy and mass resection","surgery","Stop the procedure"
79,"A 28-year-old man had head injury. GCS: eyes to pain, incomprehensible sounds, flexion to pain. What is the GCS score?","5","6","7","8","surgery","7"
80,"A 33-year-old woman diagnosed with papillary thyroid cancer planned for total thyroidectomy. She has mitral valve prolapse with mild regurgitation. What is the most appropriate to prevent infection?","Amoxicillin to prevent endocarditis","Cefazolin to prevent wound infection","No indication for antibiotic prophylaxis","Administer both cefazolin and amoxicillin","surgery","No indication for antibiotic prophylaxis"
81,"A 55-year-old woman admitted with obstructed ventral hernia. Obese, diabetic, recently discharged after retinal detachment surgery. What is most appropriate DVT prophylaxis?","Subcutaneous heparin","Mechanical prophylaxis","Subcutaneous enoxaparin","Enoxaparin and mechanical prophylaxis","surgery","Mechanical prophylaxis"
82,"A 65-year-old man scheduled for esophageal cancer surgery. Cachectic, lost >20% weight in 3 months. Started on pre-op TPN. Which electrolyte imbalance is expected?","Hypokalemia","Hypocalcemia","Hypernatremia","Hyperphosphatemia","surgery","Hypokalemia"
83,"A 33-year-old woman post sleeve gastrectomy complicated by PE, started on heparin. After 5 days: platelets 59. What is appropriate management?","Stop heparin and start lepirudin","Increase IV heparin","Shift to subcutaneous enoxaparin","Continue same dose","surgery","Stop heparin and start lepirudin"
84,"A 17-year-old boy with RLQ pain, anorexia, tenderness at McBurney's point, WBC 21.3, X-ray: radio-opaque at RIF. Next step?","Appendectomy","Urgent urology consult","Non-contrast CT abdomen","Gall-bladder ultrasound","surgery","Appendectomy"
85,"A 44-year-old woman scheduled for elective cholecystectomy. Obese, diabetic, sickle cell trait. What type of gallstones most likely?","Mixed","Oxalate","Pigmented","Pure cholesterol","surgery","Mixed"
86,"A 65-year-old man presents with upper abdominal pain, jaundice, palpable non-tender gallbladder. Most likely diagnosis?","Liver cancer","Pancreatic cancer","Primary choledocholithiasis","Secondary choledocholithiasis","surgery","Pancreatic cancer"
87,"A 75-year-old man admitted with MI, complicated by pneumonia, on Tazocin. Now severe RUQ tenderness. Ultrasound: distended gallbladder, no stones. Most appropriate management?","ERCP drainage","Emergency cholecystectomy","Change Tazocin","US-guided cholecystostomy","surgery","US-guided cholecystostomy"
88,"A 35-year-old woman post elective cholecystectomy 7 days ago now jaundiced, mild RUQ tenderness. CBD 9 mm. Most likely diagnosis?","CBD injury","Retained CBD stone","Subhepatic collection","Slipped cystic duct clip","surgery","Retained CBD stone"
89,"A 70-year-old woman with constipation, vomiting, groin swelling lateral and below pubic tubercle. X-ray: small bowel obstruction. Most likely diagnosis?","Femoral hernia","Direct inguinal hernia","Metastatic lymph node","Indirect inguinal hernia","surgery","Femoral hernia"
90,"A 61-year-old man with anemia, stools mixed with blood for months, pale, piles on DRE, Hb 8.3. Most likely diagnosis?","Cecal cancer","Rectal cancer","Sigmoid cancer","Bleeding hemorrhoids","surgery","Cecal cancer"
91,"A 52-year-old woman with vomiting, abdominal distension, history of ventral hernia repair with mesh. CT: terminal ileum obstruction with soft tissue mass. Likely diagnosis?","Small bowel cancer","Adhesion to mesh","Meckel's diverticulum","Crohn's disease","surgery","Small bowel cancer"
92,"A 12-year-old boy accidentally ingested bleach. Vitals stable. Next step?","Induce emesis","Close observation","Drink water to dilute","Insert NGT and drain","surgery","Close observation"
93,"An 18-year-old man with 2nd degree burns to both legs. Weight 70kg. According to Parkland formula, most appropriate resuscitation?","Lactate Ringer's 200ml/hr","Normal saline 1L bolus then 120ml/hr","LR 5L over 6 hrs then 5L over 16 hrs","LR 2.5L over 6 hrs then 2.5L over 16 hrs","surgery","LR 5L over 6 hrs then 5L over 16 hrs"
94,"A 32-year-old woman had incidental thyroid nodule on US: 2.3 cm solid hypoechoic. FNA: follicular neoplasm Bethesda 4. Most appropriate management?","Nodule excision","Hemithyroidectomy","Repeat US in 3 months","Radiofrequency ablation","surgery","Hemithyroidectomy"
95,"A 27-year-old man with bicondylar tibial plateau fracture. Posterior leg compartment pressure 35 mmHg. Most appropriate management?","Closed reduction and elevation","External fixation and elevation","Internal fixation","External fixation and 4-compartment fasciotomy","surgery","External fixation and 4-compartment fasciotomy"
96,"A 24-year-old man with gunshot wound to chest. Sudden agitation and hypotension. Neck veins distended, air entry good. Next management?","Fluid bolus","Pericardiocentesis","ER thoracotomy","Needle thoracostomy","surgery","Pericardiocentesis"
97,"A 2-month-old baby with 1 cm reducible umbilical hernia. Appropriate treatment?","Observation","Hernia sling","Surgical repair","Delayed repair at 6 months","surgery","Observation"
98,"A 12-year-old boy blunt abdominal injury, LUQ tenderness, CT: grade 3 splenic tear, subcapsular hematoma. Most appropriate management?","Close observation","Splenectomy","Splenic preserving surgery","Drainage of pelvic fluids","surgery","Close observation"
99,"A 28-year-old man with chronic sharp anal pain during defecation. Posterior fissure with skin tag. Conservative treatments failed. Best surgical option?","Anal dilation","Lateral internal sphincterotomy","Lateral external sphincterotomy","Curettage and excision of tag","surgery","Lateral internal sphincterotomy"
100,"A 40-year-old man presents with severe abdominal pain 3 weeks after laparoscopic sleeve gastrectomy. What is the most appropriate diagnostic test?","Ultrasound Abdomen","Plain X-ray","Diagnostic laparoscopy","CT scan with contrast","surgery","CT scan with contrast"
101,"A 45-year-old woman presents with new jaundice, RUQ pain, US shows dilated CBD 12 mm. What is the next best step?","MRCP","ERCP","Cholecystectomy","Observation","surgery","ERCP"
102,"A 60-year-old man presents with sudden epigastric pain radiating to the back, vitals stable, tender epigastrium. Most likely diagnosis?","Perforated ulcer","Pancreatitis","AAA","Gastritis","surgery","Pancreatitis"
103,"A 36-year-old man post laparoscopic cholecystectomy develops fever on day 5. Vitals stable, tender abdomen. What is the next step?","IV antibiotics","US abdomen","CT abdomen","ERCP","surgery","US abdomen"
104,"A 22-year-old man has projectile vomiting for 3 days, no bile, US shows thickened pylorus. Diagnosis?","Intussusception","Malrotation","Pyloric stenosis","GERD","surgery","Pyloric stenosis"
105,"A 45-year-old man farmer presents with RUQ pain, vomiting, and fever. CT shows calcified 5x6 cm hydatid cyst. Best management?","Albendazole","PAIR","Surgical excision","Steroids","surgery","Surgical excision"
106,"A 25-year-old woman had laparoscopic sleeve gastrectomy. On 3rd postoperative day, sudden severe shoulder pain and fever. Next step?","CT abdomen with contrast","Ultrasound","Endoscopy","MRI","surgery","CT abdomen with contrast"
107,"A 32-year-old man involved in a road accident with LUQ tenderness. CT: splenic tear Grade 3. Vitals stable. Management?","Splenectomy","Splenic artery embolization","Observation","Packing","surgery","Observation"
108,"A 65-year-old man post-PCI develops RUQ tenderness, US: distended gallbladder, no stones. Diagnosis?","Acalculous cholecystitis","Liver abscess","Cholangitis","Acute hepatitis","surgery","Acalculous cholecystitis"
109,"A 55-year-old man with obstructed inguinal hernia, vitals stable, no signs of ischemia. Next step?","Emergency hernia repair","Elective repair later","CT scan first","Observation","surgery","Emergency hernia repair"
110,"A 19-year-old boy with projectile vomiting, US confirms pyloric stenosis. Most appropriate initial step?","IV fluids","Antiemetics","Immediate surgery","Oral feeding","surgery","IV fluids"
111,"A 70-year-old woman presents with abdominal distension, constipation, and groin swelling. Diagnosis?","Femoral hernia","Direct inguinal hernia","Lipoma","Indirect inguinal hernia","surgery","Femoral hernia"
112,"A 25-year-old man with severe RIF pain, rebound tenderness, high WBC. Next step?","Appendectomy","CT abdomen","Ultrasound","Observation","surgery","Appendectomy"
113,"A 50-year-old woman with constant RUQ pain, jaundice, WBC 15, US: CBD 10 mm. Next step?","ERCP","Cholecystectomy","CT","MRCP","surgery","ERCP"
114,"A 48-year-old woman with right breast mass, mobile, firm. Next step?","Ultrasound","FNAC","Mammography","MRI","surgery","FNAC"
115,"A 35-year-old man with thyroid nodule, FNA: papillary cancer. Next step?","Hemithyroidectomy","Total thyroidectomy","Radioactive iodine","Observation","surgery","Total thyroidectomy"
116,"A 40-year-old woman post-thyroidectomy develops carpopedal spasm. Next action?","IV calcium gluconate","Analgesics","Reassurance","Ventolin","surgery","IV calcium gluconate"
117,"A 17-year-old man in car crash, GCS 7, equal pupils, open tibial fracture. First priority?","Airway","External fixator","CT head","X-ray leg","surgery","Airway"
118,"A 26-year-old woman post lap sleeve gastrectomy, now persistent vomiting 3 weeks later, CT normal. Next step?","Endoscopy","Psychiatry consult","Observation","MRI","surgery","Psychiatry consult"
119,"A 70-year-old man post trauma with widened mediastinum on chest X-ray. Next step?","CT angiogram","Chest drain","Intubation","ECG","surgery","CT angiogram"
120,"A 56-year-old man post kidney transplant on steroids now with poor wound healing after laparotomy. Which vitamin helps?","Vitamin C","Vitamin K","Vitamin D","Vitamin A","surgery","Vitamin A"
121,"A 40-year-old man post-op day 3 with 38.8°C fever, no local signs, clear chest, no pain. Most likely cause?","UTI","Wound infection","Pulmonary embolism","Abscess","surgery","UTI"
122,"A 5-year-old boy with reducible 1 cm umbilical hernia. Management?","Observe","Surgery now","Surgical repair at 6 months","Binder","surgery","Observe"
123,"A 36-year-old woman with right breast lump 3 cm, core biopsy: phyllodes tumor. Management?","Wide local excision","Mastectomy","Chemo","Radiation","surgery","Wide local excision"
124,"A 43-year-old man with hyperthyroidism, failed medical therapy, has severe exophthalmos. Next step?","RAI","Thyroidectomy","Increase PTU","Observation","surgery","Thyroidectomy"
125,"A 54-year-old man presents with 6 cm AAA on US. Asymptomatic. Next step?","CT angiography","Immediate repair","Observe","MRI","surgery","CT angiography"
126,"A 65-year-old diabetic man with RIF pain, fever, WBC 18. US: thickened appendix. Next step?","Appendectomy","Antibiotics only","CT scan","Observation","surgery","Appendectomy"
127,"A 33-year-old man post MVC, abdominal pain, US: free fluid, no solid organ injury. Next step?","CT scan","Laparoscopy","Observe","ERCP","surgery","CT scan"
128,"A 70-year-old woman with history of AAA, now sudden back pain and hypotension. Most likely diagnosis?","Ruptured AAA","Renal colic","Dissection","Pancreatitis","surgery","Ruptured AAA"
129,"A 40-year-old man post blunt chest trauma, widened mediastinum. Next step?","CT angiogram","ECG","Echo","Chest drain","surgery","CT angiogram"
130,"A 50-year-old man post sleeve gastrectomy with fever, tachycardia, shoulder tip pain. Next step?","CT with contrast","Endoscopy","US abdomen","XR","surgery","CT with contrast"
